date,season,team,made_three_point_field_goals,attempted_three_point_field_goals,points,outcome
4/6/11,2010-2011,MILWAUKEE BUCKS,7,20,90,WIN
4/6/11,2010-2011,MIAMI HEAT,8,23,85,LOSS
4/6/11,2010-2011,PHOENIX SUNS,5,23,108,WIN
4/6/11,2010-2011,MINNESOTA TIMBERWOLVES,6,13,98,LOSS
4/6/11,2010-2011,HOUSTON ROCKETS,9,24,93,LOSS
4/6/11,2010-2011,NEW ORLEANS HORNETS,5,10,101,WIN
4/6/11,2010-2011,LOS ANGELES CLIPPERS,6,13,108,LOSS
4/6/11,2010-2011,OKLAHOMA CITY THUNDER,5,19,112,WIN
4/6/11,2010-2011,NEW YORK KNICKS,11,31,97,WIN
4/6/11,2010-2011,PHILADELPHIA 76ERS,2,18,92,LOSS
4/6/11,2010-2011,SACRAMENTO KINGS,7,20,92,LOSS
4/6/11,2010-2011,SAN ANTONIO SPURS,12,19,124,WIN
4/6/11,2010-2011,CLEVELAND CAVALIERS,5,15,104,WIN
4/6/11,2010-2011,TORONTO RAPTORS,5,17,96,LOSS
4/7/11,2010-2011,BOSTON CELTICS,2,10,81,LOSS
4/7/11,2010-2011,CHICAGO BULLS,9,22,97,WIN
4/7/11,2010-2011,PORTLAND TRAIL BLAZERS,8,18,98,WIN
4/7/11,2010-2011,UTAH JAZZ,6,20,87,LOSS
4/8/11,2010-2011,WASHINGTON WIZARDS,1,7,88,LOSS
4/8/11,2010-2011,BOSTON CELTICS,1,12,104,WIN
4/8/11,2010-2011,CHICAGO BULLS,4,16,93,WIN
4/8/11,2010-2011,CLEVELAND CAVALIERS,2,15,82,LOSS
4/8/11,2010-2011,LOS ANGELES CLIPPERS,6,18,96,LOSS
4/8/11,2010-2011,DALLAS MAVERICKS,4,15,107,WIN
4/8/11,2010-2011,MILWAUKEE BUCKS,3,18,100,LOSS
4/8/11,2010-2011,DETROIT PISTONS,2,11,110,WIN
4/8/11,2010-2011,ATLANTA HAWKS,5,13,102,LOSS
4/8/11,2010-2011,INDIANA PACERS,4,13,114,WIN
4/8/11,2010-2011,SACRAMENTO KINGS,3,18,96,LOSS
4/8/11,2010-2011,MEMPHIS GRIZZLIES,1,8,101,WIN
4/8/11,2010-2011,CHARLOTTE BOBCATS,5,16,103,LOSS
4/8/11,2010-2011,MIAMI HEAT,3,9,112,WIN
4/8/11,2010-2011,NEW YORK KNICKS,15,36,116,WIN
4/8/11,2010-2011,NEW JERSEY NETS,6,19,93,LOSS
4/8/11,2010-2011,PHOENIX SUNS,6,16,97,LOSS
4/8/11,2010-2011,NEW ORLEANS HORNETS,8,15,109,WIN
4/8/11,2010-2011,DENVER NUGGETS,5,18,89,LOSS
4/8/11,2010-2011,OKLAHOMA CITY THUNDER,7,19,104,WIN
4/8/11,2010-2011,TORONTO RAPTORS,5,14,93,LOSS
4/8/11,2010-2011,PHILADELPHIA 76ERS,3,11,98,WIN
4/8/11,2010-2011,LOS ANGELES LAKERS,11,25,86,LOSS
4/8/11,2010-2011,PORTLAND TRAIL BLAZERS,6,21,93,WIN
4/9/11,2010-2011,MINNESOTA TIMBERWOLVES,11,32,106,LOSS
4/9/11,2010-2011,DENVER NUGGETS,19,38,130,WIN
4/9/11,2010-2011,LOS ANGELES CLIPPERS,7,18,78,LOSS
4/9/11,2010-2011,HOUSTON ROCKETS,10,24,99,WIN
4/9/11,2010-2011,CLEVELAND CAVALIERS,7,17,101,LOSS
4/9/11,2010-2011,MILWAUKEE BUCKS,10,23,108,WIN
4/9/11,2010-2011,UTAH JAZZ,4,12,102,LOSS
4/9/11,2010-2011,SAN ANTONIO SPURS,8,20,111,WIN
4/9/11,2010-2011,ATLANTA HAWKS,5,9,83,LOSS
4/9/11,2010-2011,WASHINGTON WIZARDS,2,5,115,WIN
4/10/11,2010-2011,DETROIT PISTONS,8,19,112,WIN
4/10/11,2010-2011,CHARLOTTE BOBCATS,8,18,101,LOSS
4/10/11,2010-2011,PHOENIX SUNS,2,20,90,LOSS
4/10/11,2010-2011,DALLAS MAVERICKS,11,27,115,WIN
4/10/11,2010-2011,SACRAMENTO KINGS,6,18,104,WIN
4/10/11,2010-2011,GOLDEN STATE WARRIORS,6,22,103,LOSS
4/10/11,2010-2011,NEW YORK KNICKS,12,38,110,WIN
4/10/11,2010-2011,INDIANA PACERS,5,14,109,LOSS
4/10/11,2010-2011,OKLAHOMA CITY THUNDER,8,17,120,WIN
4/10/11,2010-2011,LOS ANGELES LAKERS,7,15,106,LOSS
4/10/11,2010-2011,NEW ORLEANS HORNETS,8,17,89,LOSS
4/10/11,2010-2011,MEMPHIS GRIZZLIES,5,12,111,WIN
4/10/11,2010-2011,BOSTON CELTICS,6,13,77,LOSS
4/10/11,2010-2011,MIAMI HEAT,6,18,100,WIN
4/10/11,2010-2011,CHICAGO BULLS,7,13,102,WIN
4/10/11,2010-2011,ORLANDO MAGIC,12,24,99,LOSS
4/10/11,2010-2011,NEW JERSEY NETS,2,13,92,LOSS
4/10/11,2010-2011,TORONTO RAPTORS,1,6,99,WIN
4/11/11,2010-2011,MIAMI HEAT,6,17,98,WIN
4/11/11,2010-2011,ATLANTA HAWKS,4,12,90,LOSS
4/11/11,2010-2011,GOLDEN STATE WARRIORS,13,25,111,LOSS
4/11/11,2010-2011,DENVER NUGGETS,10,23,134,WIN
4/11/11,2010-2011,CLEVELAND CAVALIERS,6,19,110,WIN
4/11/11,2010-2011,DETROIT PISTONS,4,9,101,LOSS
4/11/11,2010-2011,DALLAS MAVERICKS,4,17,98,WIN
4/11/11,2010-2011,HOUSTON ROCKETS,8,27,91,LOSS
4/11/11,2010-2011,TORONTO RAPTORS,3,12,86,LOSS
4/11/11,2010-2011,MILWAUKEE BUCKS,3,17,93,WIN
4/11/11,2010-2011,CHARLOTTE BOBCATS,4,13,105,WIN
4/11/11,2010-2011,NEW JERSEY NETS,4,10,103,LOSS
4/11/11,2010-2011,UTAH JAZZ,6,16,90,WIN
4/11/11,2010-2011,NEW ORLEANS HORNETS,4,11,78,LOSS
4/11/11,2010-2011,ORLANDO MAGIC,11,25,95,WIN
4/11/11,2010-2011,PHILADELPHIA 76ERS,5,17,85,LOSS
4/11/11,2010-2011,MINNESOTA TIMBERWOLVES,7,16,127,LOSS
4/11/11,2010-2011,PHOENIX SUNS,18,29,135,WIN
4/11/11,2010-2011,OKLAHOMA CITY THUNDER,2,10,120,WIN
4/11/11,2010-2011,SACRAMENTO KINGS,4,20,112,LOSS
4/11/11,2010-2011,BOSTON CELTICS,2,7,94,LOSS
4/11/11,2010-2011,WASHINGTON WIZARDS,2,5,95,WIN
4/12/11,2010-2011,SAN ANTONIO SPURS,9,25,93,LOSS
4/12/11,2010-2011,LOS ANGELES LAKERS,5,19,102,WIN
4/12/11,2010-2011,CHICAGO BULLS,7,20,103,WIN
4/12/11,2010-2011,NEW YORK KNICKS,8,31,90,LOSS
4/12/11,2010-2011,MEMPHIS GRIZZLIES,6,12,89,LOSS
4/12/11,2010-2011,PORTLAND TRAIL BLAZERS,9,18,102,WIN
4/13/11,2010-2011,NEW YORK KNICKS,7,23,102,LOSS
4/13/11,2010-2011,BOSTON CELTICS,8,17,112,WIN
4/13/11,2010-2011,ATLANTA HAWKS,1,8,85,LOSS
4/13/11,2010-2011,CHARLOTTE BOBCATS,3,10,96,WIN
4/13/11,2010-2011,NEW JERSEY NETS,6,15,92,LOSS
4/13/11,2010-2011,CHICAGO BULLS,7,21,97,WIN
4/13/11,2010-2011,WASHINGTON WIZARDS,4,12,93,LOSS
4/13/11,2010-2011,CLEVELAND CAVALIERS,5,21,100,WIN
4/13/11,2010-2011,NEW ORLEANS HORNETS,6,14,89,LOSS
4/13/11,2010-2011,DALLAS MAVERICKS,13,28,121,WIN
4/13/11,2010-2011,PORTLAND TRAIL BLAZERS,11,26,86,LOSS
4/13/11,2010-2011,GOLDEN STATE WARRIORS,10,23,110,WIN
4/13/11,2010-2011,MEMPHIS GRIZZLIES,7,15,103,LOSS
4/13/11,2010-2011,LOS ANGELES CLIPPERS,3,15,110,WIN
4/13/11,2010-2011,HOUSTON ROCKETS,12,31,121,WIN
4/13/11,2010-2011,MINNESOTA TIMBERWOLVES,4,13,102,LOSS
4/13/11,2010-2011,MILWAUKEE BUCKS,7,18,110,WIN
4/13/11,2010-2011,OKLAHOMA CITY THUNDER,8,20,106,LOSS
4/13/11,2010-2011,INDIANA PACERS,9,25,74,LOSS
4/13/11,2010-2011,ORLANDO MAGIC,8,26,92,WIN
4/13/11,2010-2011,DETROIT PISTONS,6,17,104,WIN
4/13/11,2010-2011,PHILADELPHIA 76ERS,8,24,100,LOSS
4/13/11,2010-2011,SAN ANTONIO SPURS,5,21,103,LOSS
4/13/11,2010-2011,PHOENIX SUNS,8,19,106,WIN
4/13/11,2010-2011,LOS ANGELES LAKERS,6,16,116,WIN
4/13/11,2010-2011,SACRAMENTO KINGS,7,24,108,LOSS
4/13/11,2010-2011,MIAMI HEAT,13,26,97,WIN
4/13/11,2010-2011,TORONTO RAPTORS,1,8,79,LOSS
4/13/11,2010-2011,DENVER NUGGETS,3,14,103,LOSS
4/13/11,2010-2011,UTAH JAZZ,8,15,107,WIN
4/16/11,2010-2011,INDIANA PACERS,10,18,99,LOSS
4/16/11,2010-2011,CHICAGO BULLS,6,20,104,WIN
4/16/11,2010-2011,PORTLAND TRAIL BLAZERS,2,16,81,LOSS
4/16/11,2010-2011,DALLAS MAVERICKS,10,19,89,WIN
4/16/11,2010-2011,PHILADELPHIA 76ERS,7,19,89,LOSS
4/16/11,2010-2011,MIAMI HEAT,4,17,97,WIN
4/16/11,2010-2011,ATLANTA HAWKS,6,14,103,WIN
4/16/11,2010-2011,ORLANDO MAGIC,6,22,93,LOSS
4/17/11,2010-2011,NEW YORK KNICKS,8,23,85,LOSS
4/17/11,2010-2011,BOSTON CELTICS,5,13,87,WIN
4/17/11,2010-2011,NEW ORLEANS HORNETS,4,11,109,WIN
4/17/11,2010-2011,LOS ANGELES LAKERS,6,13,100,LOSS
4/17/11,2010-2011,DENVER NUGGETS,4,16,103,LOSS
4/17/11,2010-2011,OKLAHOMA CITY THUNDER,9,19,107,WIN
4/17/11,2010-2011,MEMPHIS GRIZZLIES,6,10,101,WIN
4/17/11,2010-2011,SAN ANTONIO SPURS,6,15,98,LOSS
4/18/11,2010-2011,INDIANA PACERS,6,17,90,LOSS
4/18/11,2010-2011,CHICAGO BULLS,5,14,96,WIN
4/18/11,2010-2011,PHILADELPHIA 76ERS,6,14,73,LOSS
4/18/11,2010-2011,MIAMI HEAT,3,15,94,WIN
4/19/11,2010-2011,NEW YORK KNICKS,8,25,93,LOSS
4/19/11,2010-2011,BOSTON CELTICS,6,11,96,WIN
4/19/11,2010-2011,PORTLAND TRAIL BLAZERS,7,14,89,LOSS
4/19/11,2010-2011,DALLAS MAVERICKS,8,19,101,WIN
4/19/11,2010-2011,ATLANTA HAWKS,7,20,82,LOSS
4/19/11,2010-2011,ORLANDO MAGIC,5,23,88,WIN
4/20/11,2010-2011,NEW ORLEANS HORNETS,4,11,78,LOSS
4/20/11,2010-2011,LOS ANGELES LAKERS,4,11,87,WIN
4/20/11,2010-2011,DENVER NUGGETS,7,16,89,LOSS
4/20/11,2010-2011,OKLAHOMA CITY THUNDER,10,30,106,WIN
4/20/11,2010-2011,MEMPHIS GRIZZLIES,3,14,87,LOSS
4/20/11,2010-2011,SAN ANTONIO SPURS,7,17,93,WIN
4/21/11,2010-2011,CHICAGO BULLS,9,20,88,WIN
4/21/11,2010-2011,INDIANA PACERS,1,10,84,LOSS
4/21/11,2010-2011,MIAMI HEAT,4,12,100,WIN
4/21/11,2010-2011,PHILADELPHIA 76ERS,9,21,94,LOSS
4/21/11,2010-2011,DALLAS MAVERICKS,9,22,92,LOSS
4/21/11,2010-2011,PORTLAND TRAIL BLAZERS,8,14,97,WIN
4/22/11,2010-2011,ORLANDO MAGIC,8,28,84,LOSS
4/22/11,2010-2011,ATLANTA HAWKS,6,14,88,WIN
4/22/11,2010-2011,LOS ANGELES LAKERS,7,16,100,WIN
4/22/11,2010-2011,NEW ORLEANS HORNETS,2,13,86,LOSS
4/22/11,2010-2011,BOSTON CELTICS,14,24,113,WIN
4/22/11,2010-2011,NEW YORK KNICKS,9,20,96,LOSS
4/23/11,2010-2011,OKLAHOMA CITY THUNDER,6,21,97,WIN
4/23/11,2010-2011,DENVER NUGGETS,6,23,94,LOSS
4/23/11,2010-2011,CHICAGO BULLS,3,20,84,LOSS
4/23/11,2010-2011,INDIANA PACERS,5,16,89,WIN
4/23/11,2010-2011,SAN ANTONIO SPURS,2,15,88,LOSS
4/23/11,2010-2011,MEMPHIS GRIZZLIES,4,11,91,WIN
4/23/11,2010-2011,DALLAS MAVERICKS,10,26,82,LOSS
4/23/11,2010-2011,PORTLAND TRAIL BLAZERS,4,19,84,WIN
4/24/11,2010-2011,ORLANDO MAGIC,2,23,85,LOSS
4/24/11,2010-2011,ATLANTA HAWKS,6,15,88,WIN
4/24/11,2010-2011,LOS ANGELES LAKERS,4,18,88,LOSS
4/24/11,2010-2011,NEW ORLEANS HORNETS,4,14,93,WIN
4/24/11,2010-2011,BOSTON CELTICS,3,12,101,WIN
4/24/11,2010-2011,NEW YORK KNICKS,8,27,89,LOSS
4/24/11,2010-2011,MIAMI HEAT,5,23,82,LOSS
4/24/11,2010-2011,PHILADELPHIA 76ERS,8,18,86,WIN
4/25/11,2010-2011,PORTLAND TRAIL BLAZERS,4,16,82,LOSS
4/25/11,2010-2011,DALLAS MAVERICKS,3,17,93,WIN
4/25/11,2010-2011,OKLAHOMA CITY THUNDER,7,19,101,LOSS
4/25/11,2010-2011,DENVER NUGGETS,9,19,104,WIN
4/25/11,2010-2011,SAN ANTONIO SPURS,5,18,86,LOSS
4/25/11,2010-2011,MEMPHIS GRIZZLIES,5,12,104,WIN
4/26/11,2010-2011,INDIANA PACERS,7,16,89,LOSS
4/26/11,2010-2011,CHICAGO BULLS,14,31,116,WIN
4/26/11,2010-2011,NEW ORLEANS HORNETS,10,21,90,LOSS
4/26/11,2010-2011,LOS ANGELES LAKERS,7,18,106,WIN
4/26/11,2010-2011,ATLANTA HAWKS,4,16,76,LOSS
4/26/11,2010-2011,ORLANDO MAGIC,11,26,101,WIN
4/27/11,2010-2011,PHILADELPHIA 76ERS,2,10,91,LOSS
4/27/11,2010-2011,MIAMI HEAT,12,30,97,WIN
4/27/11,2010-2011,DENVER NUGGETS,8,18,97,LOSS
4/27/11,2010-2011,OKLAHOMA CITY THUNDER,6,24,100,WIN
4/27/11,2010-2011,MEMPHIS GRIZZLIES,3,10,103,LOSS
4/27/11,2010-2011,SAN ANTONIO SPURS,7,22,110,WIN
4/28/11,2010-2011,ORLANDO MAGIC,5,19,81,LOSS
4/28/11,2010-2011,ATLANTA HAWKS,8,22,84,WIN
4/28/11,2010-2011,LOS ANGELES LAKERS,5,14,98,WIN
4/28/11,2010-2011,NEW ORLEANS HORNETS,3,14,80,LOSS
4/28/11,2010-2011,DALLAS MAVERICKS,6,18,103,WIN
4/28/11,2010-2011,PORTLAND TRAIL BLAZERS,5,21,96,LOSS
4/29/11,2010-2011,SAN ANTONIO SPURS,5,22,91,LOSS
4/29/11,2010-2011,MEMPHIS GRIZZLIES,1,9,99,WIN
5/1/11,2010-2011,BOSTON CELTICS,12,24,90,LOSS
5/1/11,2010-2011,MIAMI HEAT,9,19,99,WIN
5/1/11,2010-2011,MEMPHIS GRIZZLIES,3,8,114,WIN
5/1/11,2010-2011,OKLAHOMA CITY THUNDER,6,14,101,LOSS
5/2/11,2010-2011,ATLANTA HAWKS,7,13,103,WIN
5/2/11,2010-2011,CHICAGO BULLS,8,18,95,LOSS
5/2/11,2010-2011,DALLAS MAVERICKS,9,20,96,WIN
5/2/11,2010-2011,LOS ANGELES LAKERS,5,19,94,LOSS
5/3/11,2010-2011,BOSTON CELTICS,6,11,91,LOSS
5/3/11,2010-2011,MIAMI HEAT,7,16,102,WIN
5/3/11,2010-2011,MEMPHIS GRIZZLIES,4,11,102,LOSS
5/3/11,2010-2011,OKLAHOMA CITY THUNDER,8,14,111,WIN
5/4/11,2010-2011,ATLANTA HAWKS,3,13,73,LOSS
5/4/11,2010-2011,CHICAGO BULLS,5,22,86,WIN
5/4/11,2010-2011,DALLAS MAVERICKS,8,25,93,WIN
5/4/11,2010-2011,LOS ANGELES LAKERS,2,20,81,LOSS
5/6/11,2010-2011,CHICAGO BULLS,10,20,99,WIN
5/6/11,2010-2011,ATLANTA HAWKS,1,6,82,LOSS
5/6/11,2010-2011,LOS ANGELES LAKERS,3,13,92,LOSS
5/6/11,2010-2011,DALLAS MAVERICKS,12,29,98,WIN
5/7/11,2010-2011,MIAMI HEAT,5,23,81,LOSS
5/7/11,2010-2011,BOSTON CELTICS,9,18,97,WIN
5/7/11,2010-2011,OKLAHOMA CITY THUNDER,4,21,93,LOSS
5/7/11,2010-2011,MEMPHIS GRIZZLIES,3,10,101,WIN
5/8/11,2010-2011,CHICAGO BULLS,3,16,88,LOSS
5/8/11,2010-2011,ATLANTA HAWKS,4,11,100,WIN
5/8/11,2010-2011,LOS ANGELES LAKERS,5,24,86,LOSS
5/8/11,2010-2011,DALLAS MAVERICKS,20,32,122,WIN
5/9/11,2010-2011,MIAMI HEAT,3,13,98,WIN
5/9/11,2010-2011,BOSTON CELTICS,5,16,90,LOSS
5/9/11,2010-2011,OKLAHOMA CITY THUNDER,5,24,133,WIN
5/9/11,2010-2011,MEMPHIS GRIZZLIES,6,23,123,LOSS
5/10/11,2010-2011,ATLANTA HAWKS,1,12,83,LOSS
5/10/11,2010-2011,CHICAGO BULLS,4,14,95,WIN
5/11/11,2010-2011,BOSTON CELTICS,7,15,87,LOSS
5/11/11,2010-2011,MIAMI HEAT,7,19,97,WIN
5/11/11,2010-2011,MEMPHIS GRIZZLIES,2,8,72,LOSS
5/11/11,2010-2011,OKLAHOMA CITY THUNDER,9,20,99,WIN
5/12/11,2010-2011,CHICAGO BULLS,3,13,93,WIN
5/12/11,2010-2011,ATLANTA HAWKS,1,11,73,LOSS
5/13/11,2010-2011,OKLAHOMA CITY THUNDER,4,25,83,LOSS
5/13/11,2010-2011,MEMPHIS GRIZZLIES,5,16,95,WIN
5/15/11,2010-2011,MIAMI HEAT,3,8,82,LOSS
5/15/11,2010-2011,CHICAGO BULLS,10,21,103,WIN
5/15/11,2010-2011,MEMPHIS GRIZZLIES,5,15,90,LOSS
5/15/11,2010-2011,OKLAHOMA CITY THUNDER,11,28,105,WIN
5/17/11,2010-2011,OKLAHOMA CITY THUNDER,7,16,112,LOSS
5/17/11,2010-2011,DALLAS MAVERICKS,9,23,121,WIN
5/18/11,2010-2011,MIAMI HEAT,3,13,85,WIN
5/18/11,2010-2011,CHICAGO BULLS,3,20,75,LOSS
5/19/11,2010-2011,OKLAHOMA CITY THUNDER,7,18,106,WIN
5/19/11,2010-2011,DALLAS MAVERICKS,9,27,100,LOSS
5/21/11,2010-2011,DALLAS MAVERICKS,7,21,93,WIN
5/21/11,2010-2011,OKLAHOMA CITY THUNDER,1,17,87,LOSS
5/22/11,2010-2011,CHICAGO BULLS,5,12,85,LOSS
5/22/11,2010-2011,MIAMI HEAT,3,9,96,WIN
5/23/11,2010-2011,DALLAS MAVERICKS,8,25,112,WIN
5/23/11,2010-2011,OKLAHOMA CITY THUNDER,2,13,105,LOSS
5/24/11,2010-2011,CHICAGO BULLS,6,24,93,LOSS
5/24/11,2010-2011,MIAMI HEAT,5,13,101,WIN
5/25/11,2010-2011,OKLAHOMA CITY THUNDER,5,16,96,LOSS
5/25/11,2010-2011,DALLAS MAVERICKS,5,20,100,WIN
5/26/11,2010-2011,MIAMI HEAT,6,15,83,WIN
5/26/11,2010-2011,CHICAGO BULLS,7,22,80,LOSS
5/31/11,2010-2011,DALLAS MAVERICKS,9,22,84,LOSS
5/31/11,2010-2011,MIAMI HEAT,11,24,92,WIN
6/2/11,2010-2011,DALLAS MAVERICKS,6,17,95,WIN
6/2/11,2010-2011,MIAMI HEAT,9,30,93,LOSS
6/5/11,2010-2011,MIAMI HEAT,8,19,88,WIN
6/5/11,2010-2011,DALLAS MAVERICKS,8,21,86,LOSS
6/7/11,2010-2011,MIAMI HEAT,2,14,83,LOSS
6/7/11,2010-2011,DALLAS MAVERICKS,4,19,86,WIN
6/9/11,2010-2011,MIAMI HEAT,8,20,103,LOSS
6/9/11,2010-2011,DALLAS MAVERICKS,13,19,112,WIN
6/12/11,2010-2011,DALLAS MAVERICKS,11,26,105,WIN
6/12/11,2010-2011,MIAMI HEAT,7,23,95,LOSS
12/25/11,2011-2012,MIAMI HEAT,4,7,105,WIN
12/25/11,2011-2012,DALLAS MAVERICKS,9,28,94,LOSS
12/25/11,2011-2012,LOS ANGELES CLIPPERS,8,23,105,WIN
12/25/11,2011-2012,GOLDEN STATE WARRIORS,5,21,86,LOSS
12/25/11,2011-2012,CHICAGO BULLS,7,15,88,WIN
12/25/11,2011-2012,LOS ANGELES LAKERS,4,16,87,LOSS
12/25/11,2011-2012,BOSTON CELTICS,2,5,104,LOSS
12/25/11,2011-2012,NEW YORK KNICKS,9,20,106,WIN
12/25/11,2011-2012,ORLANDO MAGIC,8,28,89,LOSS
12/25/11,2011-2012,OKLAHOMA CITY THUNDER,10,19,97,WIN
12/26/11,2011-2012,MILWAUKEE BUCKS,8,23,95,LOSS
12/26/11,2011-2012,CHARLOTTE BOBCATS,4,19,96,WIN
12/26/11,2011-2012,TORONTO RAPTORS,9,21,104,WIN
12/26/11,2011-2012,CLEVELAND CAVALIERS,6,20,96,LOSS
12/26/11,2011-2012,DENVER NUGGETS,10,27,115,WIN
12/26/11,2011-2012,DALLAS MAVERICKS,8,27,93,LOSS
12/26/11,2011-2012,CHICAGO BULLS,8,24,91,LOSS
12/26/11,2011-2012,GOLDEN STATE WARRIORS,4,15,99,WIN
12/26/11,2011-2012,DETROIT PISTONS,7,19,79,LOSS
12/26/11,2011-2012,INDIANA PACERS,7,15,91,WIN
12/26/11,2011-2012,OKLAHOMA CITY THUNDER,5,16,104,WIN
12/26/11,2011-2012,MINNESOTA TIMBERWOLVES,3,22,100,LOSS
12/26/11,2011-2012,HOUSTON ROCKETS,6,27,95,LOSS
12/26/11,2011-2012,ORLANDO MAGIC,9,22,104,WIN
12/26/11,2011-2012,NEW ORLEANS HORNETS,2,16,85,WIN
12/26/11,2011-2012,PHOENIX SUNS,5,25,84,LOSS
12/26/11,2011-2012,PHILADELPHIA 76ERS,8,19,103,LOSS
12/26/11,2011-2012,PORTLAND TRAIL BLAZERS,9,19,107,WIN
12/26/11,2011-2012,LOS ANGELES LAKERS,1,16,91,LOSS
12/26/11,2011-2012,SACRAMENTO KINGS,9,18,100,WIN
12/26/11,2011-2012,MEMPHIS GRIZZLIES,3,7,82,LOSS
12/26/11,2011-2012,SAN ANTONIO SPURS,10,33,95,WIN
12/26/11,2011-2012,NEW JERSEY NETS,6,26,90,WIN
12/26/11,2011-2012,WASHINGTON WIZARDS,1,7,84,LOSS
12/27/11,2011-2012,UTAH JAZZ,1,13,71,LOSS
12/27/11,2011-2012,LOS ANGELES LAKERS,6,16,96,WIN
12/27/11,2011-2012,BOSTON CELTICS,12,19,107,LOSS
12/27/11,2011-2012,MIAMI HEAT,6,10,115,WIN
12/27/11,2011-2012,MINNESOTA TIMBERWOLVES,6,14,95,LOSS
12/27/11,2011-2012,MILWAUKEE BUCKS,2,16,98,WIN
12/27/11,2011-2012,ATLANTA HAWKS,12,23,106,WIN
12/27/11,2011-2012,NEW JERSEY NETS,5,24,70,LOSS
12/27/11,2011-2012,SACRAMENTO KINGS,3,16,79,LOSS
12/27/11,2011-2012,PORTLAND TRAIL BLAZERS,3,18,101,WIN
12/28/11,2011-2012,WASHINGTON WIZARDS,6,16,83,LOSS
12/28/11,2011-2012,ATLANTA HAWKS,9,23,101,WIN
12/28/11,2011-2012,MIAMI HEAT,1,6,96,WIN
12/28/11,2011-2012,CHARLOTTE BOBCATS,7,18,95,LOSS
12/28/11,2011-2012,UTAH JAZZ,7,16,100,LOSS
12/28/11,2011-2012,DENVER NUGGETS,6,19,117,WIN
12/28/11,2011-2012,CLEVELAND CAVALIERS,7,12,105,WIN
12/28/11,2011-2012,DETROIT PISTONS,9,21,89,LOSS
12/28/11,2011-2012,NEW YORK KNICKS,4,21,78,LOSS
12/28/11,2011-2012,GOLDEN STATE WARRIORS,6,16,92,WIN
12/28/11,2011-2012,OKLAHOMA CITY THUNDER,10,25,98,WIN
12/28/11,2011-2012,MEMPHIS GRIZZLIES,2,16,95,LOSS
12/28/11,2011-2012,BOSTON CELTICS,7,17,78,LOSS
12/28/11,2011-2012,NEW ORLEANS HORNETS,4,12,97,WIN
12/28/11,2011-2012,PHILADELPHIA 76ERS,7,17,103,WIN
12/28/11,2011-2012,PHOENIX SUNS,2,11,83,LOSS
12/28/11,2011-2012,LOS ANGELES CLIPPERS,7,20,90,LOSS
12/28/11,2011-2012,SAN ANTONIO SPURS,10,19,115,WIN
12/28/11,2011-2012,INDIANA PACERS,7,16,90,WIN
12/28/11,2011-2012,TORONTO RAPTORS,6,15,85,LOSS
12/29/11,2011-2012,SAN ANTONIO SPURS,2,17,85,LOSS
12/29/11,2011-2012,HOUSTON ROCKETS,9,26,105,WIN
12/29/11,2011-2012,NEW YORK KNICKS,6,22,82,LOSS
12/29/11,2011-2012,LOS ANGELES LAKERS,9,16,99,WIN
12/29/11,2011-2012,DALLAS MAVERICKS,9,26,102,LOSS
12/29/11,2011-2012,OKLAHOMA CITY THUNDER,6,14,104,WIN
12/29/11,2011-2012,NEW JERSEY NETS,6,17,78,LOSS
12/29/11,2011-2012,ORLANDO MAGIC,9,21,94,WIN
12/29/11,2011-2012,DENVER NUGGETS,4,20,102,LOSS
12/29/11,2011-2012,PORTLAND TRAIL BLAZERS,8,20,111,WIN
12/29/11,2011-2012,CHICAGO BULLS,6,12,108,WIN
12/29/11,2011-2012,SACRAMENTO KINGS,8,17,98,LOSS
12/30/11,2011-2012,NEW JERSEY NETS,9,20,98,LOSS
12/30/11,2011-2012,ATLANTA HAWKS,4,15,105,WIN
12/30/11,2011-2012,DETROIT PISTONS,3,16,85,LOSS
12/30/11,2011-2012,BOSTON CELTICS,7,16,96,WIN
